instancia,algoritmo,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10
Western Sahara,BLPMsh,30068,30068,30068,30068,30068,30068,30068,30068,30068,30068
Western Sahara,BLPM2opt,28294,28294,28294,28294,28294,28294,28294,28294,28294,28294
Western Sahara,BLPMswap,-1323289179,-1614061744,-4938977642,-5515365858,-7314385776,-8012293320,-10904607631,-11815888095,-12878182077,-14009247473
Western Sahara,BLMM2opt,28147,28147,28147,28147,28147,28147,28147,28147,28147,28147
Western Sahara,BLMMsh,29226,29226,29226,29226,29226,29226,29226,29226,29226,29226
Western Sahara,BLMMswap,-224554543,-375870975,-637721331,-769394929,-815115692,-1151649275,-1455212871,-1603802236,-1725240798,-1862346180
Djibouti,BLPMsh,9515,9515,9515,9515,9515,9515,9515,9515,9515,9515
Djibouti,BLPM2opt,6657,6657,6657,6657,6657,6657,6657,6657,6657,6657
Djibouti,BLPMswap,-10248151,-16079884,-19426374,-20492391,-21568849,-38790814,-43657519,-47093686,-57541266,-57614136
Djibouti,BLMM2opt,6656,6656,6656,6656,6656,6656,6656,6656,6656,6656
Djibouti,BLMMsh,9168,8888,8888,8888,8888,8888,8888,8888,8888,8888
Djibouti,BLMMswap,-199081,-1730987,-2070578,-9528006,-19449239,-20522831,-21518144,-24327634,-25193734,-27055188
Qatar,BLPMsh,14179,14179,14179,14179,14179,14179,14179,14179,14179,14179
Qatar,BLPM2opt,10138,10138,10138,10138,10138,10138,10138,10138,10138,10138
Qatar,BLPMswap,17079,12312,10187,8262,-215,-4864,-7995,-13141,-14145,-27921
Qatar,BLMM2opt,10148,10148,10148,10148,10148,10148,10148,10148,10148,10148
Qatar,BLMMsh,13901,13901,13901,13901,13901,13901,13901,13901,13901,13901
Qatar,BLMMswap,11644,3733,-3015,-3015,-5521,-7334,-16428,-24597,-33614,-40009
Uruguay,BLPMsh,128430,128430,128430,128430,128430,128430,128430,128430,128430,128430
Uruguay,BLPM2opt,83322,83322,83322,83322,83322,83322,83322,83322,83322,83322
Uruguay,BLPMswap,605173,587532,574166,556510,514234,510141,454841,453416,444981,442172
Uruguay,BLMM2opt,87074,87074,87074,87074,87074,87074,87074,87074,87074,87074
Uruguay,BLMMsh,138097,138097,138097,138097,138097,138097,138097,138097,138097,138097
Uruguay,BLMMswap,557808,524867,480285,465110,433239,400207,399019,389198,383661,383661
Zimbabwe,BLPMsh,168226,168226,168226,168226,168226,168226,168226,168226,168226,168226
Zimbabwe,BLPM2opt,102434,102434,102434,102434,102434,102434,102434,102434,102434,102434
Zimbabwe,BLPMswap,799922,781938,721679,682270,641449,632992,631375,624170,555539,531012
Zimbabwe,BLMM2opt,105705,105705,105705,105705,105705,105705,105705,105705,105705,105705
Zimbabwe,BLMMsh,203331,203210,203210,203210,203210,203199,203199,203199,203199,196169
Zimbabwe,BLMMswap,800704,668771,599996,576155,573363,544101,540394,535937,529618,525612
